slug,discount
hubspot.operations.starter,HubSpot offers a 20% discount for the 'Starter Customer Platform' plan when billed annually. They also offer a 14-day free trial for the 'Operations Hub Professional' and 'Operations Hub Enterprise' plans.
hubspot.marketing.starter,"HubSpot's Marketing Hub offers a free version with limited features. The Starter plan begins at $15/month/seat. The Professional plan starts at $800/month and includes 3 seats, with additional seats at $45 each. No annual, volume, or multi-year discounts are explicitly mentioned on the pricing page."
hubspot.service.starter,There is no annual discount offered. The monthly price is the same as the 'best value' annual price for the Starter and Professional plans.
koreconx,"The pricing page offers a 'Free Forever' plan, which can be considered a free tier or a freemium model. There are no other discounts mentioned."
humanloop,"The pricing page offers a free plan with limited features. There are no explicit discounts mentioned such as annual, volume, or introductory offers. The Enterprise plan has custom pricing, so discounts may be negotiated with sales."
influxdata,InfluxDB Cloud Serverless offers a $250 credit for 30 days upon upgrade. Marketplace subscriptions allow users to leverage cloud provider credits and discounts.
ignitionapp,"Annual discounts are offered across all plans: Solo (20%), Core (34%), Pro (20%), and Pro+ (20%). A free trial is also offered."
imgix,"Imgix offers volume-based pricing. The cost per 1000 origin images decreases as the plan tier increases. For example, the Basic plan costs $15 per 1000 images, while the Growth plan costs $12 per 1000 images, and the Standard plan costs $9 per 1000 images."
keepersecurity,"Keeper offers annual billing discounts on the Business Starter Password Manager and Business Password Manager plans. They also offer a free trial. Customized bundles and curated pricing are available for Enterprise and Privileged Access Manager plans, which may include volume discounts."
intandemly,Annual billing offers a discount compared to monthly billing. Basic plan is $19/user/month (billed annually) vs $29 monthly. Pro is $35 annually vs $49 monthly. Unlimited is $49 annually vs $69 monthly. Free trials are available for Pro and Unlimited plans.
imagen-ai,"Imagen offers a 10% discount on annual plans. They also offer 1,000 free edits to new users."
ifttt,"IFTTT offers an annual discount on the Pro plan. The monthly price is $12.50, but if you choose to be billed annually, the price is $2.92/month."
hubspot.suite.starter,The Customer Platform offers a free tools plan. The Starter Customer Platform and Professional Customer Platform are priced per seat. Additional seats start at $45/mo for the Professional plan. No other discounts are mentioned.
itilite,"The pricing page mentions a discount where users can unlock $7 per trip pricing. Also, there is a 2.5% cashback offer: 1.5% cashback on all card spends and 1% cashback on all ITILITE travel spends if you spend more than $100k per month on travel."
jirav,"The pricing page shows two plans: Controller Essentials (starting at $50/mo) and CFO Enterprise (starting at $150/mo). There are no explicit discounts mentioned on the pricing page. However, there is a partner program mentioned."
joist,2 months free when you switch to annual billing.
izea,Annual billing offers a discount compared to monthly billing. Starter plan is $165/month or $24/month annually. Power plan is $600/month or $16/month annually.
langchain,The Developer plan is free for 1 user. The Startups plan offers discounted prices and a generous free monthly trace allotment.
jazzhr,Annual discount of 25% is offered on all plans when choosing annual billing. A free 14-day Pro Plan trial is also available.
jamf,"The Business plan offers a discount for annual billing. Jamf Pro, Connect, Protect and Mobile Security have annual billing options."
instabug,Instabug offers a 20% discount for annual billing. They also offer a 14-day free trial.
jimdo,Prices shown apply to a 12-month contract term. Prices for other contract terms may vary.
intercom,Annual billing offers a discount compared to monthly billing. Startup discount: 90% off. Free trial for 14 days.
klaviyo,Klaviyo offers a free plan. Klaviyo CDP pricing mentions volume-based discounts.
keboola,"Keboola offers a Free Tier with limited features, including an extra small Snowflake backend, orchestration automation, and 250 GB of data storage. Monthly consumption is capped at 120 minutes of computational runtime for the first month, with an additional 60-minute refill each following month."
kissflow,"The pricing page shows the cost per month for the Basic plan. The Enterprise plan has custom pricing, so volume discounts may be available depending on the specific needs of the customer."
knack,New customers get a limited-time introductory offer for the first 3 months on the Starter and Pro plans. There is also a 17% discount for yearly billing.
jotform,Jotform offers discounts for annual billing (up to 20% savings). They also provide a 50% discount for both nonprofit and educational institutions.
jumpcloud,"JumpCloud offers an annual discount of up to 18% compared to monthly billing. They also offer special pricing for education, nonprofits, and partners."
karbonhq,"Annual billing is offered at a discounted rate compared to monthly billing. The Team plan is $59/month paid annually, and the Business plan is $89/month paid annually. The Enterprise plan has custom pricing."
koala,"Annual billing offers a 20-30% discount across all plans. Volume discounts are available for higher-tier plans (Scale I, Scale II, Scale III)."
lambdatest,Annual billing offers discounts up to 20%.
justworks,"The pricing page shows 3 plans: Payroll at $8/month per person, PEO Basic at $59/month per person, and PEO Plus at $109/month per person. There are no discounts mentioned on the page."
lindy,Introductory discount: The 'Free' plan is marked as 'Intro week'. It includes 400 credits/month and up to 400 tasks.
launchdarkly,"Annual billing offers savings up to 10%. Discounts may be available for non-profit, academic, or open-source projects."
learnworlds,LearnWorlds offers up to 20% discount on yearly subscriptions. Exclusive discounts are available with LearnWorlds Scale.
lightspeed,Lightspeed does not explicitly mention any discount types on the pricing page. It is possible to schedule a call to create a custom plan for multiple locations.
langfuse,"Early-stage startups get 50% off for the first year. Education/Non-profits can get up to 100% off, limits apply. Open-source projects receive USD 300 in credits for the first year."
lastpass,New customers get 20% off on all LastPass products with annual billing.
lattice,Early bird pricing is available for Core HRIS. Request Early Bird Discount Now is available for Payroll and Time Tracking.
konghq,"Kong offers a 30-day free trial for the Konnect Plus plan. The Enterprise plan offers custom pricing and is billed annually, implying potential savings with an annual commitment. Volume discounts may be available for API requests, as pricing varies based on usage."
labelbox,Labelbox offers a free plan and a free version for educational institutions. The Enterprise plan mentions custom pricing options and volume discounts may be available.
huggingface,"Hugging Face offers discounts for Enterprise Hub users who commit to yearly billing. The Pro Account is $9/month. Spaces Hardware and Inference Endpoints have usage-based pricing, starting at $0/hour and $0.032/hour, respectively. Spaces also get ephemeral storage for free."
lucid,"The pricing page shows different plans (Free, Individual, Team, Enterprise) with varying features and prices. There is no mention of discounts, but the 'Bundle & Save' section suggests potential multi-product discounts. The 'As low as' phrasing for Individual and Team plans implies possible volume discounts."
lytics,The Developer plan is free forever. There is also a bonus of 10 million free credits when moving from the Developer tier to any paid package.
madgicx,Annual discount of 20% on the 'All-in-One' plan. Early-bird pricing is available for the 'One-Click Report' add-on.
lokalise,The pricing page offers a free plan and a 14-day free trial for paid plans. They also mention special pricing for non-profit and open-source organizations.
livekit,"The pricing page shows different tiers with varying features and usage limits. Volume pricing is available for resources in the 'Ship' and 'Scale' plans, where the cost per unit decreases as usage increases (e.g., per thousand minutes or per GB)."
logrocket,LogRocket offers discounted annual pricing. They also provide discounts for open-source projects. A 14-day free trial is available for the Team and Professional plans.
logicmonitor,Volume discounts are available across all products. Log Intelligence offers discounted rates for annual billing.
mailchimp,"Mailchimp offers a 14-day free trial for basic plans. The Premium plan has a 15% discount for the first 12 months. They also offer a 15% discount for 12 months with 10,000+ contacts on the Essentials plan. Nonprofits and charities can receive a 15% discount."
loom,"The pricing page shows different plans: Starter (free), Business ($15/month), Business + AI ($20/month), and Enterprise (contact sales). There are no explicit discounts mentioned on the pricing page."
linear,Annual billing is available for Basic and Business plans. Enterprise plan is annual billing only.
owndata.discover,Annual billing is offered. The price shown is $8.50/user/month when billed annually.
owndata.secure,Annual billing is offered. The price is $5.85 per Salesforce User/Month when billed annually.
mezmo,Free tier available for both Telemetry Pipeline and Log Management plans. 14-day free trial for Telemetry Pipeline. 3-day retention for Log Management Professional plan.
owndata.archive,Customer Success Premier Package offers a discount on license fees: 20% for Unlimited and 25% for FedRAMP Authorized. Sandbox Anonymization is offered at $1.15/Salesforce license/Month. Bring Your Own Key (AWS) is available for an additional $0.68 per Salesforce User/Month.
microsoft.copilot,A 1-month free trial is offered for Microsoft Copilot Pro.
paddle,Paddle offers custom pricing for rapidly scaling and established large-scale businesses. Contact sales for tailored pricing to fit your business model and products.
mixmax,Mixmax offers a 14-day free trial and up to 25% discount on annual billing.
neptune,A free team license is available for academics and Kagglers. The Self-hosted plan offers a free trial and is billed annually.
miro,Annual billing offers a discount compared to monthly billing. Starter plan is $8/member annually vs $10 monthly. Business plan is $16/member annually vs $21 monthly.
owndata.recover,"Annual billing is offered, with prices shown as 'per Salesforce User/Month (billed annually)'. A free trial is available for the Essential plan."
mouseflow,Annual discount of up to 20% is offered. A 14-day free trial is included in all plans.
modal,Modal offers $30/month free credits for the Starter plan and $100/month free credits for the Team plan. Early-stage startups or academic researchers can get up to $25k free compute credits.
mobilexpense,The FAQ mentions that Mobilexpense offers volume discounts. Contact them to learn more.
motivosity,"Motivosity charges licensing fees on an annual basis. There is a minimum annual spend of $3,000."
mixpanel,"Startups that were founded less than 5 years ago, with up to $8M in total funding, can receive their first year free on the Mixpanel Growth plan."
mural,"Annual billing is offered. The 'Team+' plan is $9.99/month billed annually, and the 'Business' plan is $17.99/month billed annually. A free plan is also available."
mongodb,MongoDB Atlas offers a free tier (M0) for learning and exploring the platform. Atlas Search is advertised as being 77% lower cost than alternative search solutions.
monday,Annual discount of 18% is offered across all plans. There is also a free plan available for up to 2 seats.
nanonets,"The Starter plan offers a 'Pay as you go' model with the first 500 pages free, then $0.3/page. The Pro plan includes 5000 pages per month, with additional pages at $0.1/page. Volume discounts apply to the Pro plan based on page usage."
moz,"Moz Pro offers discounts for annual billing. A Cyber Sale is active until Dec 6, offering up to 36% off for 1 year on Moz Pro plans. The average discount across all plans for annual billing is 26%."
netlify,Netlify offers a 30-day free trial for the Pro plan. It is also possible to pay for the Pro plan annually.
nexcess,Nexcess is offering a Winter sale with 75% off all hosting plans.
okta,"Volume discounts are available for Enterprise customers with 5,000+ users. Workflows Starter plan offers up to 5 flows at no cost."
openvpn,Annual discount: Save $240 with yearly billing on the Standard plan.
nulab,The pricing page offers a free plan and free trials for the Pro and Team plans. There is also a free trial for the Nulab Pass security add-on.
notion,Notion offers a 22% discount for annual billing.
octopus,Annual discount of 20% is offered on the Professional plan. A free 30-day trial is available for the Community and Professional plans. Volume pricing is available for the Enterprise plan for over 500 targets.
neat,Neat offers a free trial. There are also multi-product discounts when bundling Neat with VIP Service or Automated Insights.
nordvpn,"NordVPN offers discounts on its 2-year plans. The Ultimate plan saves 74%, Plus saves 73%, and Basic saves 73%. All plans include 3 extra months."
newrelic,Annual commitment pricing is available for Pro and Enterprise plans. Volume discounts and commit pricing are also offered. Bundling add-ons provides a discounted price.
owler,"The Pro plan is billed annually, but the discount amount is not specified."
navan,Navan Business is free for companies up to 200 employees. Expense features are free for the first 5 users.
otter,Annual billing offers up to 57% discount compared to monthly billing.
pagerduty.service,Yearly billing offers a 16% discount.
osano,"Osano offers a free trial for the 'Plus' plan of their Self-Service Cookie Consent. They also state that they offer discounts for non-profits and startups, but details are not provided."
pagerduty.automation,"The pricing page does not explicitly mention any discounts. It offers a Runbook Automation plan at $125/user/month + platform fee. For other plans, users need to contact the company for pricing."
oysterhr,"Oyster offers a free trial for the Contractor plan. They also offer discounts for nonprofits and refugees. Volume discounts are available for hiring, and reduced annual rates are available for the Scale plan."
metabase,Annual billing offers a 15% discount on the Starter and Pro plans. A 14-day free trial is available.
oneplan,OnePlan offers a free plan for 1 user. They also offer volume-based pricing based on the total number of users. Contact them to learn more.
openai,"The pricing page shows prices per 1000 tokens for different models like GPT-4 Turbo, GPT-4, GPT-3.5 Turbo, and others. It also mentions a free credit for Retrieval tool under Assistants API until 2/23/2024."
paystand,
paycor,Limited time offer: 50% off for 6 months on all plans.
payfit,The pricing page does not explicitly mention any discounts. The plans are 'Price on request'.
pilot,"Pilot offers discounts for startups still pre-revenue, contact them for Core plan discount. Stock Administration service has annual prepayment discount."
pardot,"Annual discounts are available for Marketing Cloud Engagement and Account Engagement, offering a 16.67% discount compared to paying monthly. Data Cloud for Marketing is also billed annually."
papayaglobal,Papaya Global offers discounts for large companies with volume payroll requirements. Contact them for details.
paypal,PayPal temporarily waives some fees for customers sending funds to Ukrainian PayPal accounts or receiving funds into Ukrainian PayPal accounts until further notice.
pandadoc,Annual billing offers savings up to 66%. There is also a free trial for the Starter plan.
quizizz,Quizizz offers a free 'Basic' plan for individual teachers. There are no explicit discounts mentioned on the pricing page. Users can 'Sign up for free' for the basic plan.
paycargo,PayCargo Account offers a discount compared to the Ship & Pay plan. The PayCargo Account has an annual fee of $350.00 per user.
perimeter-81,Annual billing offers a 20% discount across all plans.
pendo,Pendo offers a 'Free' plan with limited features and usage (up to 500 monthly active users). There is also a 'Try for free' option to install a forever-free version of Pendo.
phidata,No discounts are explicitly mentioned on the pricing page.
pinecone,Pinecone offers a free tier with limited usage. The Standard and Enterprise plans include monthly usage credits ($15 and $150 respectively). They also offer discounts and support for committed use contracts; contact them for details.
performyard,"Enterprise pricing discounts are available. The product is billed annually, but the discount amount is not specified."
qrvey,The pricing page does not explicitly mention any discounts. It encourages users to request a quote to learn about pricing.
plastiq,"Plastiq offers a calculator to estimate potential benefits from cash back (1.5%), early pay discounts (0%), tax write-offs (25%), and investments (4.9%) based on payment amount and card cycle days. They also offer free credit card acceptance."
photobucket,"Annual discounts are available. Save $10 on MyBucket, $16 on Group Buckets, and $26 on Hosting by paying yearly."
plaid,Plaid offers discounts for the Growth plan with a 12-month commitment. Custom plans offer volume-based pricing.
personio,Discounts apply to the specific contract term. Discounts for Non-profit Solutions are available.
plooto,Special savings for Accountants and bookkeepers are available.
privafy,"The pricing page is labeled as 'Introductory Pricing', suggesting a temporary discount on the listed prices for the Essentials, Professional, Business and Enterprise plans. Remote access clients are offered at $5 per device per month."
pulley,Pulley offers custom pricing for crowdfunding deals and tailored solutions for larger companies. They also offer fixed pricing per stakeholder.
pushwoosh,Pushwoosh offers a 30-day free trial for apps with less than 1000 users. They also offer a free plan for startups or new apps with limited features.
pagerduty,Yearly Pricing (18% Off)
procurify,"Procurify offers a limited-time introductory discount of 25% which ends on December 31, 2024."
proposify,"Annual billing is offered, providing a discount compared to monthly billing. The Basic plan is $19/month billed annually vs $27/month billed monthly. The Team plan is $41/month billed annually vs $45/month billed quarterly."
productplan,No discounts are mentioned on the pricing page.
postman,Annual billing is offered with a discount of up to 20%.
prontoforms,Annual billing is offered for all plans. Essentials: $20/month annually vs $25 monthly. Advanced: $37.50/month annually vs $45 monthly. Contact sales for Enterprise annual billing.
quickbooks,
pipedrive,
prezi,A 14-day free trial is offered for all plans.
qdrant,"Qdrant offers a 'Managed Cloud' plan starting at $0, which includes a 1GB free cluster with no credit card required. This can be considered a free tier or introductory offer."
pagerduty.aiops,PagerDuty offers a 16% discount for yearly billing.
salesforce.loyalty-management,The Premier Success Plan offers a discount of 30% of net license fees.
salesforce.agentforce,Salesforce Foundations plan is offered at no cost. Volume discounts are available for Agentforce conversations; contact a sales representative for details.
pagerduty.incident,A 16% discount is offered for yearly billing on all plans.
ramp,The Plus plan offers a 25% discount with annual billing.
quicken,"Quicken offers discounts for annual billing on all plans. Simplifi and Business & Personal are discounted from $6.99 to $3.99 per month, and Classic is discounted from $7.99 to $5.99 per month when billed annually."
zapier.tables,
zapier.chatbots,
zoho.invoice,Zoho Invoice offers a free plan. No other discounts are mentioned on the page.
zoho.expense,Annual billing offers savings up to 20%. A free trial is available for the Standard and Premium plans.
salesforce.marketing-cloud.ads,"The Professional plan is listed at $2,000/month, billed annually. This indicates that the listed price requires an annual commitment."
salesforce.marketing-cloud.engagement,Premier Success Plan offers a discount of 30% of net license fees.
salesforce.marketing-cloud.personalization,Annual billing is available for Growth and Premium plans. There is also a 30% discount on net license fees for the Premier Success Plan.
zoho.recruit,Zoho Recruit offers a 15-day free trial. They also have a referral program where you can earn 15% of the referred user's subscription fee as Zoho Wallet Credits.
salesforce.service-cloud,The page offers a free trial of Service Cloud. Premier Success Plan offers a 30% discount on net license fees.
zoho.cloud-siem,The MSSP Edition offers monthly and yearly billing options. Other plans are billed annually. A free plan with limited features is also available.
ziprecruiter,
zeroheight,The Starter plan offers a 15% discount when billed annually.
zoom.scheduler,"Zoom Scheduler offers a discount for annual billing. The monthly price is $5.99, but when billed annually, the price is $4.99 per month, which is a 16.69% discount. A 14-day free trial is also available."
zoho.routeiq,A 25% discount is offered for both Standard and Professional plans when billed annually.
zoho.sites,"Annual billing is offered. There is also a 15-day free trial. Add-ons for the Pro plan have volume discounts for additional units, such as Portal Add-on: US$60 for 1000 members and US$36 for additional 1000 members."
zoho.workerly,Annual discount: Save up to 12% when choosing yearly billing. Volume discount: Pricing decreases from $1.33 to $0.88 per temp as the number of temps increases above 500. Free trial: 14-day free trial with unlimited temps. Forever Free plan also available.
zoho.subscriptions,Zoho Billing offers discounts for annual billing. Standard plan is $25/month (billed annually) instead of $29 if paid monthly. Premium plan is $59/month (billed annually) instead of $69 if paid monthly. A 14-day free trial is also available.
zoom.phone,"Annual billing discounts are available on Pro Plus and Business Plus plans. The Business Plus plan saves up to 35% per year, and the Pro Plus plan saves up to 33% per year."
zenhub,Zenhub offers a discount for annual billing on the Teams plan. The annual discount is 16.67%.
zeplin,"Annual billing on the Basic plan provides 1 month free. Students, NGOs, and open-source contributors can get the Basic plan for free for a year."
salesforce.marketing-cloud.intelligence,"The pricing page shows monthly costs for different Marketing Intelligence plans: Starter ($3,000), Growth ($10,000), and Plus ($30,000). There are also Success Plans with 30% off net license fees for the Premier Success Plan."
salesforce.cms,Salesforce CMS is included in Experience Cloud purchases. Contact sales for pricing.
zoho.books,"The pricing page shows different plans with varying features and prices. There is a free plan available. No explicit discounts like annual, volume, or multi-product discounts are mentioned."
salesforce.small-business,The pricing page offers a 40% discount on the Starter Suite when you buy. There is also a free trial for 30 days.
zoominfo,ZoomInfo offers a free trial. Request a demo is also available.
salesforce.marketing-cloud.customer-data-platform,"No discounts are explicitly mentioned on the page. It suggests contacting sales for pricing details, which might include custom discounts."
zoom,Annual billing offers a discount compared to monthly billing. There are also bundle discounts available for Zoom Phone with Business Plus. Save up to 16% with annual billing.
zenaton,"Zenaton offers a free Hacker plan. The Startup plan includes a free trial. Volume discounts are available for the Startup plan, with additional usage priced at $50 per 100k steps."
salesforce.sales-cloud,Salesforce offers discounts for annual billing. There is also a free trial available.
salesforce.marketing-cloud.account-engagement,"Annual billing is available, but the discount amount is not specified. Contact the sales team for detailed pricing information."
recruiterflow,Up to 23% discount with annual billing.
render,No discounts are explicitly mentioned on the pricing page.
relay,Annual billing offers a 20% discount.
resemble,The Creator plan has an introductory discount of $28. The Enterprise plan offers volume discounts up to 90%.
razorpay,Razorpay offers 1 month free + 20% off on subscription for Payroll product.
reply,Save up to 30% with annual billing. Winter 2025 promotion offers up to 30% off annual subscriptions.
rechargepayments,"Recharge offers volume-based rates for the Custom plan. They also offer native discounts, tax, and shipping options."
salesforce,The page mentions a free trial. Contact sales for detailed pricing information.
remote,No discounts are explicitly mentioned on the pricing page.
recurly,"The Starter plan has a limited-time introductory offer for new customers: no monthly platform fee and no payment volume fee for the first $40,000 USD in the first 3 months."
rightsignature,
rippling,
ringcentral,
scheduleonce,The pricing page offers a 14-day free trial. No other discounts are mentioned.
replit,"Replit offers an annual discount on the Core plan, saving $120 per year compared to paying monthly."
retool,Annual billing offers a 50% discount on the Team and Business plans. Volume discounts are available for external users on the Business plan and for the Enterprise plan.
sage,"All plans are $0/month for 3 months. After the initial 3 months, the Essentials plan is $23/month, Standard is $30.50/month, and Premium is $36.50/month. Additional employee costs apply: $3.00, $10.50, and $16.50 per employee for Essentials, Standard, and Premium, respectively."
renderforest,"Annual discount is offered, saving up to 40% when choosing yearly billing. The Pro plan has a 50% discount and the Business plan has a 30% discount when billed annually."
revenuecat,The 'Pro plan' is free for annual contracts of $36k+.
revenue,"The pricing page does not explicitly mention any discounts. It highlights features like zero platform fees and dedicated customer support, but these are not discounts in the traditional sense."
rockset,
salesloft,The pricing page does not explicitly mention any discounts. It only lists the features included in the 'Advanced' and 'Premier' packages.
scoro,A 14-day free trial is offered for all plans. No other discounts are explicitly mentioned on the pricing page.
runwayml,20% off discount for annual billing.
rapyd,"Rapyd's pricing includes Interchange++ pricing, where they do not mark up the Interchange (0.20%-1.80% per transaction) and Scheme (0.02%-0.65% per transaction) fees."
rapidapi,The Enterprise Hub plan offers annual billing. Additional Team Members add-on offers a volume discount: $10/teammate/month for teams greater than 5.
sauce-labs,"Annual billing discounts are available on Live Testing, Virtual Cloud, Real Device Cloud and Sauce Mobile App Distribution plans. Averages around 20% discount compared to monthly billing. A free trial is offered."
rotacloud,Annual discount: Save 16.67% with annual billing (2 months free).
rocketlane,"Annual billing discount is offered across all plans. By choosing annual billing, users can save an average of 37.04% compared to monthly billing."
rivery-io,Rivery offers scalable per-usage pricing with usage-based discounts and extra savings with annual billing. They also offer dedicated pricing for high-volume replications.
shipmonk,
sendbird,
searchstax,The Essential plan offers a discount for annual billing.
sketchup,Annual discount of 45% is offered on the 'Go' plan. Volume discounts are available for higher education (universities).
shipperhq,No discounts are explicitly mentioned on the pricing page.
segment,The page mentions a free trial for paid plans.
serpmaster,Smartproxy offers discounts for annual billing on their residential proxy plans. The discounts range from 14% to 36% depending on the plan. They also offer a 3-day free trial.
restream,Annual billing offers a discount equivalent to 2 months free. Additional team seats on the Business plan are discounted to $25/seat/month.
scrive,Volume pricing is available for the Enterprise plan. Contact them for details.
semgrep,Semgrep offers a free trial for up to 10 contributors for both the 'Code' and 'Supply Chain' plans. There is also special pricing for early state startups and security consultants mentioned in the FAQ section.
shipyardapp,
shiprocket,
shutterstock,Annual subscription offers savings compared to monthly payments. Save up to $49 by paying upfront annually.
shortcut,Volume discounts are available for Business and Enterprise plans for 50+ users. Contact sales for details.
signalhire,Save up to 43% with yearly billing.
signeasy,Save up to 33% with yearly plan.
similarweb,"Annual billing discounts are available on the Starter and Professional plans, offering an average discount of 16.3% compared to monthly billing."
shorthand,Annual discounts are available; contact sales for details. Free trials are offered for the Team and Business plans. Discounts are available for non-profit and charity organizations. Free access to Shorthand is available for approved storytelling classes. Apply for a discount button is available.
shippo,"The pricing page mentions 'deep discounts from top carriers' and 'Best USPS, UPS, FedEx, and DHL Express discounts'. Volume discounts are available for the Professional plan, with pricing depending on monthly label volume."
shopify,Shopify offers a 25% discount for annual billing. They also offer an introductory discount of $1/month for the first 3 months.
skyvia,20% off is offered for annual billing.
sketch,Sketch offers an annual discount on its Standard and Business subscriptions. The Standard subscription is $10/month when billed annually. The Business subscription is $22/month when billed annually.
smarterqueue,"Annual discount: Save 15% on all plans with annual billing. Non-profits, charities, and educational institutions get 50% off. Referral program available."
smartsheet,"Annual billing is offered, potentially at a discounted rate compared to monthly billing. "
smugmug,"Annual billing discounts are offered. Direct plan saves 30%, Portfolio saves 34%, and Pro plan saves 29% when paying annually."
smartling,The pricing page does not explicitly mention any discounts. Users are encouraged to book a demo to learn more.
simplepractice,"40% off for 5 months for new customers who upgrade to a paid plan within 7 days of signing up. Also, a 30-day free trial is offered."
slack,The Pro plan offers a 50% discount when billed annually.
skuvault,The pricing page does not explicitly mention any discount types. It offers different plans and add-ons based on the features and functionalities required by the business.
speechmatics,"Volume savings are available for the Enterprise plan, offering unlimited scale with flexible deployments."
scratchpad,Annual discount of 20% is offered on Standard and Business plans.
snowflake,"Snowflake offers a 30-day free trial. Capacity storage discounts are available, refer to Table 30 in the Snowflake Service Consumption Table."
snyk,"Snyk offers a free plan. The Team plan is priced per product and requires a minimum of 5 contributing developers. Volume discounts and custom pricing are available for the Enterprise plan, which requires contacting sales."
sourcegraph,"The Enterprise Starter plan is offered at a discounted rate of $19/user/month for up to 50 devs. There is also a mention of 'Get Pro for $9 a month', which seems to be a discounted offer to upgrade to a different product."
semrush,Save up to 17% with annual billing. Custom plans are available for larger needs.
upguard,"UpGuard offers discounts for annual billing. The Starter plan is $1,589 billed annually. The Professional plan is $3,333 billed annually."
softr,30% discount for non-profits and educational institutions.
soldo,Soldo offers a 30-day free trial for the Standard and Plus plans.
sproutsocial,"Sprout Social offers discounts for annual billing. The Standard plan has a 20% discount, the Professional plan has a 25% discount, and the Advanced plan has a 20% discount when billed annually. They also offer a free 30 day trial."
spendflo,"The pricing page shows the monthly cost for two different plans: Intake & Procurement Orchestration at $1,000/mo and Managed Procurement at $3,000/mo. There is a mention of 'Guaranteed Savings' for the Managed Procurement plan, but the details are not specified. No other discounts are mentioned."
sumologic,
streamyard,
supermetrics,"The pricing page shows 'starts from' prices for various data sources, and mentions a 14-day free trial for any connector or destination. Custom plans are available for more sophisticated needs."
stytch,Volume discounts are available for Enterprise plan users for external active members and M2M tokens. Contact sales for discounted rates.
surveymonkey,"Annual billing discounts are available on Team Advantage (20% off) and Team Premier (33% off) plans. Team discounts are offered for plans with 3+ users, saving 20% or more over individual plans. Discounted pricing is available for students and educators."
surfshark,Surfshark offers discounts on its 24-month plans. All plans are discounted by 87% for the first 24 months.
tailscale,The pricing page offers a free trial. There are add-on devices available for $0.50 per month.
stripe,"Stripe offers discounts for annual billing. The Standard plan offers a 2.5% + 30¢ per successful card charge, while the annual plan offers a 2.05% + 30¢ per successful card charge. Volume discounts are available for businesses with large payment volume or unique business models."
statsig,"The pricing page shows three plans: Developer (free), Pro ($150/month), and Enterprise (custom pricing). No discounts are explicitly mentioned."
superhuman,"Annual billing discounts are available on the Starter and Business plans, offering a 17% saving compared to monthly billing."
terraform,HCP Free plan offers up to 500 resources per month at no cost. The HCP Standard plan provides the first 500 resources per month for free.
teamwork,Yearly Save 29% discount is offered.
unbounce,Save 25% with yearly billing for all plans. A free 14-day trial is also offered.
tableau,New customers save 20% on the Enterprise edition with promo code TABSAVE20. All listed prices are for annual billing.
taskworld,The company offers a 29% discount for annual billing on the Business plan. A 14-day free trial is available for the Free Trial and Business plans.
talkdesk,No discounts are explicitly mentioned on the pricing page. It is necessary to contact sales to get pricing on AI-powered contact center solutions.
synder,Synder offers a 20% discount for annual billing. They also offer a 15-day free trial.
temporal,"Temporal offers $1000 in credits to try the service. They also have a startup program that offers $2,400 in free Temporal Cloud credits to startups with less than $30M in funding. Volume discounts are available for Enterprise Temporal Cloud, contact sales for details."
tabnine,"Tabnine offers a free 30-day trial for the 'Dev' plan, priced at $9 per month. They also offer a 'Dev Preview' plan for qualified users at $0."
taxdome,"TaxDome offers discounts for multi-year subscriptions. A 2-year subscription saves $50/year, and a 3-year subscription saves $100/year compared to the 1-year subscription."
twingate,"Annual discount of 15% is offered on the Teams and Business plans. A 14-day free trial is available for the Teams and Business plans. Special pricing is available for charities, non-profits, and educational institutions."
truework,The Enterprise plan offers up to 30% off per verification and custom setup and pricing.
toast,No discounts are explicitly mentioned on the pricing page. The pricing shown is monthly.
tipalti,"The pricing page shows three plans: Starter ($99/month), Premium (custom pricing), and Elite (custom pricing). There are no explicit discounts mentioned on the pricing page. Users need to contact sales for Premium and Elite plan pricing."
thoughtspot,"All plans are billed annually, implying a discount for annual commitment. A free trial is offered for the Essentials and Pro plans."
trello,"Trello offers discounts for annual billing on the Standard and Premium plans. The Standard plan offers a 16.67% discount, while the Premium plan offers a 20% discount when billed annually."
twilio,"Twilio offers volume discounts as you scale. Some products offer free trials or free usage tiers. For example, Twilio for Salesforce offers a 30-day free trial. TaskRouter offers 100 free tasks/month. SendGrid Email API offers a free tier of 100 emails/day."
triplewhale,"Annual discount is offered for Growth, Pro, Premium and Premium+ plans. By choosing annual billing, users can save approximately 14.8% compared to monthly billing."
travelperk,TravelPerk offers a free 'Starter' plan. The 'Premium' and 'Pro' plans have a base monthly price plus an additional 3% per booking.
thinkific,Annual billing offers a discount compared to monthly billing. All plans offer a 14-day free trial.
zapier.interfaces,
userlike,Save up to 44% with Userlike's annual plan.
zoho.bugtracker,Zoho BugTracker offers a 10-day free trial. The listed prices for the Standard (US$3) and Premium (US$7) plans are already billed annually.
unifygtm,"The Growth plan is offered at a discounted rate when billed annually. The monthly price is $1000, but the annual price is $700/month, resulting in a 30% discount."
uipath,UiPath offers a 'Free' plan for personal use. They also offer a 'Pro Trial' plan. The 'Pro' plan starts at $420/month for 1 Automation Developer License.
uizard,"The pricing page screenshot does not show any explicit discounts. However, it does offer a 'Sign up for free' option, which can be considered a freemium or trial offer."
typedream,Annual billing discounts are available on the Launch and Grow plans. Launch plan saves $5/month (25% discount). Grow plan saves $7/month (14.29% discount).
